cleaned_text,sentiment_label
kementerian pu ungkap alasan banjir melanda wilayah bogor,1
video pemerintah kirim bantuanbikin dapur umum untuk korban banjir bekasi,2
efek bekasi banjir parah paketan yg seharusnya nyampe depok masih ketahan di logos bekasi sabar ga ini ya,1
banjir,1
ketua dpd psi kota bekasi dan anggota dprd kota bekasi sis tanti herawati mengunjungi lokasi banjir di bekasi timur tak lupa memberikan bantuan untuk warga yang menjadi korban air belum surut sampai sore tadi masih banyak warga yang tidak bisa melakukan aktivitas dengan,2
satusatunya alasan kenapa banjir belum jadi isu politik nasional karena gubernur jakarta dari pdip harusnya pdip jangan takut,0
personel korps bhayangkara langsung terjun ke lokasi banjir di bekasi depok dan wilayah yang mengalami banjir untuk mengevakuasi masyarakat menggunakan perahu karet dan peralatan memadai lainnya polri siaga berikan pertolongan dan tetap memberikan imbauan,2
jakarta dan bekasi pak bruce bekasi dikepung banjir kemarin,2
gw juga bingung pak jokowi bilang sejak lebih dari tahun yg lalu katanya banjir dan macet jakarta akan tuntas kalau dia jd presiden karena beliau mengatakan persoalan itu bukan hanya tupoksinya gubernur dki saja akan tetapi pemerintah pusat,0
tanpa keberlanjutan banjir jakarta akan terus menjadi lingkaran setan yang tak berujung,0
menteri koordinator bidang pembangunan manusia dan kebudayaan menko pmk pratikno mengungkapkan bahwa biaya untuk operasi modifikasi cuaca dalam menangani banjir di bekasi sangat mahal untuk itu pratikno meminta pemerintah daerah pemda untuk turut membantu pemerintah pusat,1
baznas salurkan porsi sahur bagi korban banjir di jakarta,2
news video jakarta diterjang musibah banjir hotman paris ajak warga dki gugat pemerintah triliunan rupiah,0
jadetabek dapet banjir kiriman dari bogor aja sampai tergenang ini kota malang bisa diantisipasi dengan apa nih biar banjirnya gak sampai parah kayak gini di musim sekarang uda banyak kemarin video banjir kan,0
banjir di jakarta dan sekitarnya akan lebih mudah saya atasi bila jadi pleciden ngerti pora soonn,0
demi keselamatan rakyat jokowi ambil komando atas penanggulangan banjir sebagai bentuk tanggung jawab pemerintah pusat yaitu membangun terowongan nanjung citarum harum dan bendungan sukamahiciawi lalu kenapa cuma jakarta yang menjadi sorotan,2
adalah bencana nasional mari bersama pemerintah kita bahu membahu membantu korban terdampak banjir daerah bandung tangerang bogor depok dan bekasi juga sangat memerlukan bantuan bukan jakarta saja,1
menanggapi kebutuhan essential masyarakat bekasi akibat banjir kantor pos slipi ikut berjibakh bersama bumn dan pihak lainya mengembalikan listrik komunikasi dan pangan pak pos bersama a nya menyusuri setiap rumah memastikan keadaan daerah,2
personel gabungan tnipolri mengevakuasi warga terdampak banjir di perumahan asri sawangan depok jawa barat pada selasa termasuk seorang pria yang membutuhkan cuci darah di rsud sawangan,2
berasa bgt badan pegel setelah selasa kmrn pulang kerja jalan jauh nyari jalan lain biar ttp bs pulang ditengah banjir di byk jalanan bekasi mau pesen ojol gaada yg nyangkut juga kmrn tuh,1
setuju mas lebih mudah jika jadi presiden mengendalikan banjir jakarta jika gubernurnya mau bersinergi dengan pemerintah pusat melalui kementrian pupr nah bisanya hanya narasi dan merangkai katakata saja yah kelelep warga jakarta,0
om mana temen temen lu dari jakarta banjir nooh waktu pak anies jadi gubernur lu pada berisik sekarang mingkem uda kaga ada lagi yaaaaah yg mesen buat berisik,0
kok kecewa sama pak pak bukankah pak sdh menyatakan soal banjir jakarta itu adl tanggung jawab pemerintah pusat pak basuki jgn ikut on jugalah,0
media asing soroti banjir di bekasi amp jakarta hal ini disebut,1
bogor hujan gede hampir setiap hari banjir longsor banyak kerjaan diluar rumah jadi takut kemanamana,1
asli kegiatan polri bantu korban banjir di bekasi n depok keren abis cek langsung di sini link,2
personel korps bhayangkara langsung terjun ke lokasi banjir di bekasi depok dan wilayah yang mengalami banjir untuk mengevakuasi masyarakat menggunakan perahu karet dan peralatan memadai lainnya,2
admin pemkot lg kena banjir kali,1
personel korps bhayangkara langsung terjun ke lokasi banjir di bekasi depok dan wilayah yang mengalami banjir untuk mengevakuasi masyarakat menggunakan perahu karet dan peralatan memadai lainnya,2
sudah tgl januari masih banyak yang menyalahkan pemerintah dki jakarta soal banjir,0
banjir melanda jakarta dan hujan lebat masih berpotensi hingga beberapa hari ke depan yang bsia menimbulkan banjir yang lebih parah solusi jitu belum terlihat justru langkah antisipasi pusat tidak sejalan dengan pemerintah daerah,0
gerak cepat polri di lapangan saat banjir ini patut diacungi jempol semoga para korban di bekasi amp depok segera pulih,2
sempat terendam banjir rsud kota bekasi kembali beroperasi normal,1
update banjir besar jakarta rt dan ruas jalan masih terendam pagi ini,1
gubernur dki jakarta pramono anung menyebut bahwa banjir di sejumlah wilayah jakarta saat ini diakibatkan kiriman air dari hulu atau daerah penyangga pramono mengatakan akan mengambil langkahlangkah antisipasi termasuk modifikasi cuaca dan pengaktifan status siaga bencana,2
personel korps bhayangkara langsung terjun ke lokasi banjir di bekasi depok dan wilayah yang mengalami banjir untuk mengevakuasi masyarakat menggunakan perahu karet dan peralatan memadai lainnya selain evakuasi warga polri bersama instansi terkait telah mendirikan posko,2
pemerintah provinsi dki jakarta menggandeng instansi untuk menanggulangi banjir di jakarta yang terjadi sejak rabu lalu sumber photo berita,2
bekasi banyak tempat yg kena banjir kaga ada yg nyalahin pemerintah kan okee lebih beradap,1
bravo buat polisi pjr cikampek atas bantuannya bagi para pekerja pengguna sepeda motor yg terisolasi banjir utk dapat lewat tol demi bisa bekerja di kawasan jakarta,2
atasi banjir akibat kali bekasi pemerintah siapkan rp triliun untuk normalisasi,2
tumben jakarta banjir ga berisik,1
kalo dah tahu langganan di era siapa yg paling buruk kinerja menangani banjir dengan curah hujan di atas rata antisipasi gampang masalah jakarta itu ada di pemerintah pusat kata gubernur terpilih periode sebelumnya cacat logika,0
good job polri bantuan cepatnya sangat membantu meringankan beban korban banjir di bekasi dan depok,2
jabodetabek banjir mo salahin siapa pemerintah yang buang sampah sembarangan siapa terus yang harus bertanggung jawab siapa yang menanggulanginnya siapa,0
ga bakal kejadian kan di indo mah gmn warga bekasi ini liburan setelah banjir gmn yg pas banjir,1
bekasi noh banjir urusin malah urusin hal receh,0
banjir makin tinggi listrik padam air juga mati duh nikmat banget ujian banjir ini,1
hmm giliran banjir nyalahin pemerintah buang sampah udah ditempatnya lom,1
bangga sama aksinya polisi bekasidepok nih gercep bantu pas kejadian banjir lanjutkan,2
baru ngeh kan bekasi banjir ya trs paket gmn dahh,1
dibalik banjir jakarta setiap terjadi banjir besar di wilayah jakarta saya ingat dulu ada gubernur dki yang bilang bahwa untuk mengatasi banjir dan macet di jakarta itu akan lebih mudah jika ia jadi presiden ri kenapa demikian karena mencegah banjir dan macet di jakarta itu,0
menteri pkp maruarar sirait tinjau lokasi dan koordinasi penanganan banjir bekasi,2
pemerintah memutuskan untuk memberikan kompensasi kepada seluruh masyarakat korban banjir di dki jakarta jawa barat dan banten kompensasi ini diberikan sesuai dengan kriterianya menteri pekerjaan umum dan,2
personel gabungan tnipolri mengevakuasi warga terdampak banjir di perumahan asri sawangan depok jawa barat pada selasa termasuk seorang pria yang membutuhkan cuci darah di rsud sawangan,2
polres metro depok memberikan bantuan kepada warga terdampak banjir di perumahan sawangan asri di rt rw kelurahan sawangan baru kecamatan sawangan ini semua bentuk siaga berikan pertolongan polri kepada korban bencana mari kita semua harus,2
semoga banjir jakarta dan bekasi lekas surut dan masyarakat terdampak segera dapet bantuan,1
bnpb menyebut banjir terjadi akibat hujan deras serta kiriman air dari wilayah bogor yang membuat debit sungai meningkat drastis,1
banjir jakarta mau kiriman dari bogor mau kiriman dari tuhan gubernur wkl gubernur prematur gak becus kerja gak mampu urus jakarta makan gaji buta,0
di setiap langkah bhayangkara selalu ada tak gentar menghadapi tantangan polri hadir untuk melindungi dan membawa rasa aman bagi masyarakat dalam penanganan banjir di beberapa wilayah seperti bekasi depok dan pesanggrahan polri siaga berikan pertolongan dan tetap memberikan,2
masa ga boleh marah sama orang yg ngasih pertanyaan itu banjir di bekasi beneran banjir kek hahhhh kalo deket udh w empossss,0
banjir surut di perumahan kejaksaan ri bekasi warga butuh air bersih,1
kementerian sosial kemensos melalui direktorat perlindungan sosial korban bencana alam pskba mengalokasikan dana sebesar rp juta untuk penanganan bencana banjir yang melanda wilayah dki jakarta,2
siapa pemilik mega mal bekasi yang terendam banjir ini sejarah pembangunannya,1
polisi warga bekasi solid team buat lawan banjir,2
banjir mungkin adalah hal baru bagi sebagian warga yg blm pernah terkena dampak tapi itu bukan hal yang baru bagi pemerintah jakarta tapi penanganannya terkesan kurang lebih sama setiap tahun cmiiw,0
pemerintah pusat ambil alih anies penanganan banjir bisa diselesaikan oleh lurah lha fungsi and kerjanya gubernur apaan akhirnya pemerintah pusat ambil alih penanganan banjir jakarta,0
duit rakyat berasa ga iklas bener kerjaan pemerintah nya begini itu kasian yg kena dampak banjir perhatiin tugas kalian itu hak rakyat dapet pelayanan dari kalian bulan puasa bukannya pada mikir yg bener,0
ini yg lgi parahnya banjir jakarta kenapa di x gue isinya buzzer pak mul dan anaknya dah apa bayar ya ke x hehe,0
kenyataannya sampai sekarang lahan di bidara cina ini belum dibebaskan jd soal penataan sungai yang jd upaya penting dalam pengendalian banjir itu sebenarnya kerja bersama pemerintah pusat melalui kementerian pupr pemerintah propinsi dki jakarta dan pemerintah propinsi jabar,0
ini sih bukan mengkritik tp menggiring narasi sesat menyamakan pindah status ibukota itu adalah solusi penanganan banjir jakarta lucu lihat si tope apa gak malu punya kader dgn kwalitas seperti ini,0
banjir di kota jakarta kabupaten bogor kabupaten bekasi dan kota bekasi serta kabupaten tangerang,1
personel korps bhayangkara langsung terjun ke lokasi banjir di bekasi depok dan wilayah yang mengalami banjir untuk mengevakuasi masyarakat menggunakan perahu karet dan peralatan memadai lainnya,2
curah hujan dan alih fungsi lahan memicu bencana di kawasan puncak bogor jawa barat selain banjir bencana di sana berupa longsor hingga banjir bandang,1
ternyata ka uyung kena musibah banjir stay safe ya kak semua rakyat planet bekasi yg kena dampak banjir juga stay safe yhh,1
sebagai langkah antisipasi terhadap cuaca ekstrem pemerintah kota depok telah menetapkan status siaga darurat bencana banjir cuaca ekstrem angin putting beliung serta tanah longsor hal tersebut berdasarkan keputusan wali kota depok nomor kptsdamkarhuk status,2
curhat korban banjir bekasi tak dapat bantuan evakuasi,0
pemerintah kota bekasi jawa barat mencatat sebanyak sembilan orang tewas dan terserang penyakit pada saat banjir maupun pascabanjir,1
alhamdulillah pemerintah memutuskan untuk memberikan kompensasi kepada seluruh masyarakat korban banjir di dki jakarta jawa barat dan banten kompensasi ini diberikan sesuai dengan,2
mengatasi banjir di jakarta kayaknya gak susah susah amat kok,0
menag nasaruddin umr bantu korban banjir bekasi saat ramadan pahalanya berlipat ganda,2
minbeks mau tanya soalnya banyak yg bertanya kok tumben banjir kemarin area langganan banjir prumnas dan taman alamanda ga terdampak banjir apakah berbeda aliran sungainya dgn daerah bekasi yg kebanjiran,1
salut buat polri gerak cepat bantu korban banjir bekasi dan depok semoga kebaikan terus mengalir,2
personel gabungan tnipolri mengevakuasi warga terdampak banjir di perumahan asri sawangan depok jawa barat pada selasa termasuk seorang pria yang membutuhkan cuci darah di rsud sawangan di tengah kepungan banjir setinggi meter evakuasi dilakukan dengan,2
update insiden banjir dki warga keluhkan alat peringatan dini yang tak berbunyi di jakarta selatan,1
loh saya setuju sama masnya di tulisan keenam saya kan saya jelaskan kita semua sedang menuntut pemerintah mulai peduli soal iklim yg saya kritik dlm konteks banjir jakarta kekecilan kalo cuma marah sama anies atas banjir jakarta marah sm anies jokowi minta yg byk,0
tinjau banjir di lapas cikarang dirjenpas pastikan layanan warga binaan tetap berjalan cikaranag info pas musibah bajir di berbagai daerah di jakarta dan jawa barat turut dirasakan beberapa unit pelaksana tekhnis pemasyarakata di antaranya lapas dan bapas cikarang,2
personel gabungan tnipolri mengevakuasi warga terdampak banjir di perumahan asri sawangan depok jawa barat pada selasa termasuk seorang pria yang membutuhkan cuci darah di rsud sawangan,2
imbas tingginya curah saat ini terjadi air di km a ruas tol jakartatangerang saat ini sedang dalam penanganan oleh petugas di lokasi sementara waktu bahu luar tidak dapat dilintasi mohon maaf atas ketidaknyamanan yang dialami,1
di wag organisasi malah pada ribut soal pemerintah dan siapa yg salah me kalian daripada ngebacot terus mending buka posko di jakarta atau kota lain terdampak banjir kalau ga bisa jadi manusia lain kali ga usah soksokan ngomong soal perjuangan rakyat taik kucing lah,0
menanggapi viralnya video sang istri yang kedapatan menginap di hotel saat wilayah bekasi di kepung banjir wali kota bekasi tri adhianto buka suara ia mengonfirmasi bahwa dirinya dan keluarga menginap di hotel karena mengetahui kompleks tempat tinggalnya di kemang pratama,0
komisi d dprd provinsi dki jakarta mendorong pemerintah provinsi pemprov merealisasikan target juta drainase vertikal sebagai upaya penanganan banjir,2
detikdetik motor listrik buatan indonesia terjang banjir bekasi motor jepang dibuat malu,1
low pressure system di barat sumatra bergerak menjauh ke selatan indonesia namun pergerakannya justru mendorong sel awan di sisi timur ke wilayah pulau jawa waspada hujan intensitas lebat mulai tanggal malam hingga pagi hari,1
tim mcdonald indonesia berbagi bersama pmi kota bekasi menyalurkan bantuan berupa box makanan siap santap dan air minum mineral untuk korban bencana banjir di kota bekasi rabu cc,2
pemkot bekasi sewa truk angkut sampah sisa banjir pemerintah kota pemkot be,2
banjir bandang melanda puncak bogor analisis dan solusi dari pakar hidrologi,1
paket gua ketahan di depok karena banjir yang jadi pertanyaan kenapa harus ke depok dulu,1
rt di jakarta masih terendam banjir,0
iya ya bukan hanya di bogor sih di palembang juga ka ada yg bulan banjir ga reda taunya ya itu emg jalur sungai yg ditimbun tapi kok bisa kekuar imb nya,1
jadi inget foto yg lagi manjat pagar tangga pas banjir jakarta tempo dulu,1
bawah jembatan summarecon yg deket walkot ga ka kalo iya dsitu udh surut sih aku lewatnya searah rel sih ka itu yg masih ada banjir skitaran kranji,1
eng ing eng hasil rapat di malam hari inilah kenapa ruu kejaksaan kudu musti ditolak anies sahur telur bekasi banjir menteri,1
dampak banjir di bogor demi keselamatan warga gubernur dedi mulyadi ancam cabut izin wisata,0
usai diterjang banjir sejumlah titik di bekasi diendapi lumpur pemerintah kota pemkot bekasi akan menyewa truk sampah dan backhoe untuk pembersihan lumpur,2
personel gabungan tnipolri mengevakuasi warga terdampak banjir di perumahan asri sawangan depok jawa barat pada selasa termasuk seorang pria yang membutuhkan cuci darah di rsud sawangan di tengah kepungan banjir setinggi meter,2
personel korps bhayangkara langsung terjun ke lokasi banjir di bekasi depok dan wilayah yang mengalami banjir untuk mengevakuasi masyarakat menggunakan perahu karet dan peralatan memadai lainnya,2
ini alasan jakarta banjir,0
bekasi banjir karna apa guysapa kirimin dari bogor lagi,1
coba dengerin baik ocehan pakde ini tolong bantu viralkan saja gaess yang tanggujawab adalah pemerintah pusat katanyee clear ya gaeaas,0
polres bogor bersama tim gabungan bantu korban bencana banjir kecamatan cisarua si dokkes polres bogor berikan pelayanan berupa pengobatan gratis untuk korban banjir tersebut dan polwan polres bogor lakukan kegiatan trauma healing,2
keren banget aksi polri buat bntu ngevakuasi korban banjir di bekasi amp depok beneran nyata siaga buat warga keep up the good work link,2
lebih dari pengendara sepeda motor melintasi ruas tol cibitungtanjung priok dari arah bekasi ke jakarta diskresi diberikan oleh pjr cikampek karena ruas jalan di sekitar dikepung banjir,2
tolong dibaca jangan nyalahin gubernur cuaca gabisa diprediksi jakarta udah terlalu padat harus adanya reboisasi kalo bangunan terus yg dibangun banjir dijakarta gabakal pernah usai dan mindset pun harus dirubah jangan terus terusan pemerintah yg disalahin intropeksi,2
penanganan dan pemulihan dampak banjir bekasi,1
banjir bandang melanda cisarua bogor pada senin mengakibatkan satu warga tewas terseret arus hujan deras yang mengguyur sejak pagi memicu luapan air dan merendam permukiman tim gabungan telah dikerahkan untuk evakuasi dan penanganan dampak bencana,2
di setiap langkah bhayangkara selalu ada tak gentar menghadapi tantangan polri hadir untuk melindungi dan membawa rasa aman bagi masyarakat dalam penanganan banjir di beberapa wilayah seperti bekasi depok dan pesanggrahan polri siaga berikan pertolongan dan tetap memberikan,2
banjir jakarta bagaimana,0
woi bekasi lagi banjir tuh mana buzzer nya kerja dong,0
walikota bekasi check ngungsi ke hotel banjir surut damkar suruh ke rumah,0
sekarang banjir banyak dimana mana gua penasaran apakah gubernur jakarta yang sekarang bakal menggunakan solusi yang sudah dilakukan gubernur sebelumnya terkait resapan air yang di buat anies atau tetep menutup si resapan air tersebut seperti yang dilakukan heru kemarin,0
terima kasih polri udah bantu korban banjir di bekasi amp depok dengan giat tuntas dan penuh dedikasi,2
polwan polres metro jakarta timur gelar trauma healing untuk anak anak kiban banjir,2
jadi ada namanya daur air air yg ga terserap jadi air limpasanmasuk ke sungai semakin banyak yg terserap jadi air tanah maka air nya ga kayak air bah bogor puncak dan sekitarnya punya fungsi sbg kawasan lindung air yes bisa mengurangi banjir bah macem kemarin jadi memang,1
anak lakilaki berinisial a yang menjadi korban terseret arus kali ciliwung tak memakai pelampung saat evakuasi banjir di kebon baru tebet jakarta selatan pada selasa,1
banjir yang melanda kota tangerang diawal membuat pemerintah kota tangerang harus bekerja ekstra keras wali kota tangerang arief r wismansyah telah menginstruksikan seluruh jajarannya hingga ketingkat,1
urusan banjir yang paling penting adalah berkaitan dengan keselamatan warga dinomorsatukan bnpb pemerintah provinsi sar semuanya harus segera bergerak bersamasama kata presiden cc,0
ntah krn tolol atau lupa krn pikun akibat penuaan walikota solo bilang gini dulu kelihatannya banjir dan macet jakarta ga susah bgt ketika dah jadi gub jkt banjir n macet hny bs d atasi jika jd presidenstelah jd presidenhasssuuuuuu plus pemujanya,0
banjir melanda bekasi pada selasa dini hari maret banjir tersebut merupakan kiriman dari wilayah bogor melalui kali cileungsi badan penanggulangan bencana daerah bpbd kota bekasi mencatat tinggi muka air tma pada top level mencapai sentimeter dua kali lipat,1
wakil gubernur wagub dki jakarta rano karno meninjau kawasan terdampak banjir kali grogol di jalan kamboja rt lebak bulus cilandak jakarta selatan,2
fasilitasi tenda ramah ibu dan anak terdampak banjir,0
di rumahku teluk pucung seatap banjir kiriman udh hari berturut dari day ramadhan puncaknya kemarin pemdanya korup,0
banjir dan macet jakarta akan mudah diatasi jika saya jadi presiden anomali,0
salut buat polri yg cepat bantu n evakuasi korban banjir di bekasi n depok keren banget liat videonya di sini link,2
pkb dorong sinergi pemerintah atasi banjir dan longsor di kota depok,1
pemerintah kota bekasi mulai mengantipasi bencana banjir susulan dengan menyiagakan perahu karet dan alat keselamatan,2
jakarta bekasi bogor depok tangerang dan sekitarnya dilanda banjir sejak dua hari ini jurnalis watchdoc pun sudah terjun meliput di wilayahwilayah terdampak banjir sama seperti lima tahun lalu pada banjir hasil liputannya menjadi serial dokumenter berjudul jakarta,1
contoh orang gak punya otak kenapa gak nyalahin yg bilang kalau sudah jadi presiden akan lebih mudah mengantasi banjir jakarta modal conthong doang,0
betapa cuan ny bengkel di jakarta after banjir,1
presiden sidak di pompa waduk pluit akhirnya pemerintah pusat ambil alih penanganan banjir di ibukota ini suatu tindakan yg tepat dan bijak untuk mengatasi masalah banjir di jakarta karena gubernur nya gak becus kerja mengatasi masalah sampah dan banjir,2
kejaksaan harusnya berbenah diri dulu bersih dari yg kotor masih tembang pilih kasus jgn teriak minta imun tambahan ujian luhut pak tom baim bekasi banjir pagiii,0
video mobil terendam banjir pemilik minta mal mega bekasi tanggung jawab,1
gubernur dki jakarta pramono anung mengklaim banjir kiriman yang melanda sebagian wilayah di jakarta pada senin sudah jauh berkurang sejak adanya waduk ciawi dan sukamahi pramono menyatakan pemprov dki tetap waspada mengantisipasi terjadinya banjir kiriman yang sewaktu waktu,2
tol mah aman sis asal jangan keluar tol bekasi barat tapi udah surut kook di jalan mah tinggal yg di rumah kasian krl kemarin sempat ditutup bentar tp beroperasi lg di tengah banjir keknya banjir tetep kudu kerja,1
baru tau itu milik nya pemerintah jabar kirain swasta adeuhhh knp ngerusak hutanbkn memberi contoh kpda korporasimasyarakat yg mengabitkan dampak lingkungan hancur dan akibatnya banjir bandang bukan hnya daerah setempat tapi daerah sekitar nya jkt bekasi dll,0
sisi warga korban banjir mengharapkan langkah yang konkrit dari pemerintah dalam penanganan banjir,0
gaada tapi titik banjir berkurang drastis jaman gubernur kapir krn pemerintah pusat dan pemerintah daerah kerjasama pmerintah psat sipain infrastruktur bgn bendungan di bogor koordinasi kwsan pmerintah daerah yang keruk sungai gusurin rumah pinggir sngai,2
imbas banjir listrik di stasiun bekasi padam ganggu operasional krl,0
kaga banjir anjrt rmh gwe mah bekasi premium,1
hebat banget polri bener tanggap bgt bantu warga terkena banjir di bekasi amp depok sungguh kepedulian yg luar biasa tonton aksinya,2
polres bogor bersama tim gabungan bantu korban bencana banjir kecamatan cisarua pasca banjir bandang yang melanda beberapa desa di kecamatan cisarua kabupaten bogor membuat rumah korban ditutupi lumpur polres bogor bersama tim gabungan terus membantu,2
bukan curah hujan gubernur jakarta pramono anung sebut banjir di jakarta karena air kiriman,0
jakarta oh jakarta langganan banjir tiap tahun semoga warga selalu diberi kesabaran dan bantuan segera datang,1
banjir jakarta penuh sampah pasukan oranye dikerahkan,2
jakarta banjir bukannya bantu pemerintah nanganin banjirnya malah dibuat mainan,0
gubernur mu aja gk bisa kerja dan kerjasama dgn pemerintah pusat gmn banjir bisa di atasi jakarta msh wewenang gubernur dia tangan pertama yg harus menangani klo tangan pertama tidak becus harusnya dipotong saja pa,0
stay safe everyone pray for bekasi turut berduka atas bencana banjir di bekasi semoga para korban diberi kekuatan keselamatan dan segera mendapat bantuan mari kita saling dukung untuk pulih bersama,1
woy raja julid jakarta banjir noh lu nyinyirin,0
personel korps bhayangkara langsung terjun ke lokasi banjir di bekasi depok dan wilayah yang mengalami banjir untuk mengevakuasi masyarakat menggunakan perahu karet dan peralatan memadai lainnya,2
personel gabungan tnipolri mengevakuasi warga terdampak banjir di perumahan asri sawangan depok jawa barat pada selasa termasuk seorang pria yang membutuhkan cuci darah di rsud sawangan,2
kudos to polri yg udah relawan banget bantu korban banjir di bekasi dan depok solidaritasnya bikin salut terus semangat bantu sesama ya,2
wakil cuma bisa ngomong kebijakan tetap di tangan gubernur biarkan mereka bekerja lebih dulu urusan banjir saat ini alam yg berkehendak jakarta saat ini belum mampu klu wilayah atas diguyur hujan seminggu lebih,0
guyss yang kena banjirr stay safee yaa ngeri bgt liat berita bekasi nyampe meter banjir nyaa,1
bekasi emang strategis apalagi ke jakarta low cost living perumahan juga murah tapi emang gue saran jangan tinggal di bekasi deh ini kota gubernur dri dulu pada gak becus udh ganti berkali padahal sering banjir air sering mati kotor juga klo di pemukiman kriminal kyk,0
banjir bekasi terjadi pada selasa banjir yang merendam ratusan rumah disebabkan hujan deras dan meluapnya kali bekasi ketinggian air diperkirakan mencapai lebih dari meter,1
damn im sorry jakarta oomfies banjir dari bogor,1
bukannya bikin proyek untuk mengatasi banjir gini bekasi mah malah banyakin proyek pembangunan mall dan terima proyek pembangunan psn untuk jakarta yg dampaknya bikin macet total emang tolol pemda bekasi nih gubernur jawa barat juga samanya diem doang,0
jabodetabek banjir bekasi pun lumpuh jika bicara diluar konteks alamiah amp takdir maka kita bisa bicara dan analisa yg bersifat anti mainstream modifikasi cuaca geo engineering dan haarp para eg punya toolsnya kita tak sadari,1
ooh jadi kewenangan pemerintah pusat toh kalau jakarta banjir karena datangnya dari atas,0
kak kalau jl bukit tunggal raya masih banjir ga ya gang sebelum rs mitra,1
perlu adanya solusi jangka panjang untuk mengatasi banjir di jakarta,0
kenapa gak pas kampanye dulu bilang soal banjir dki akan saya serahkan ke pemerintah pusat katanya gampang atasi banjir cangkeme anies njaluk disuwek anies baswedan serahkan penanggulangan banjir besar jakarta ke presiden jokowi dan menteri pupr,0
imbas banjir di jakarta pramono siapkan kampung siaga bencana,2
